No.,sentence_unit,korean_trigger,register,primary_used_in,used_in,speaker_role,listener_role,relationship,power_dynamic,speech_act,politeness,micro_situation,story_function,character_fit,avoid_with
1,I need more details.,더 많은 정보가 필요해.,standard,workplace,"[""workplace"", ""academic""]",employee,coworker,coworker_to_coworker,equal,request,direct,새로운 프로젝트에 대해 깊이 이해하고 싶을 때,buys_time,"[""hanyoil"", ""hyo-jeong""]",[]
2,I got stuck in traffic.,길이 막혔어.,informal,daily,"[""daily"", ""workplace""]",main_character,friend,friend_to_friend,equal,update_status,softened,늦은 이유를 친구에게 설명할 때,reveals_emotion,"[""ru-ha"", ""so-ae""]",[]
3,Can I ask you something?,뭐 질문해도 될까?,standard,daily,"[""daily"", ""workplace""]",employee,coworker,coworker_to_coworker,equal,request,polite,면대면으로 질문을 시작하고 싶을 때,sets_up_punchline,"[""hanyoil"", ""hanyuyeon""]",[]
4,I'll double-check that.,다시 확인해볼게.,standard,workplace,"[""workplace""]",employee,boss,employee_to_boss,upward,assurance,polite,상사가 요청한 사항에 대해 확인을 약속할 때,reveals_emotion,"[""hyo-jeong""]",[]
5,My phone died.,전화기가 꺼졌어.,informal,daily,"[""daily""]",main_character,friend,friend_to_friend,equal,update_status,direct,전에 연락을 못했던 이유를 설명할 때,reveals_emotion,"[""ru-ha"", ""so-ae""]",[]
6,Let's meet up soon.,곧 만나자.,informal,daily,"[""daily"", ""workplace""]",friend,friend,friend_to_friend,equal,invitation,softened,오래 못 본 친구에게 만나자고 할 때,reveals_emotion,"[""hanyoil""]",[]
7,I need to leave early today.,오늘 일찍 나가야 해.,standard,workplace,"[""workplace""]",employee,coworker,coworker_to_coworker,equal,update_status,softened,급한 일이 있을 때 퇴근 시간을 알려주고 싶을 때,shows_character,"[""hanyuyeon""]",[]
8,What's your plan for the weekend?,주말 계획이 뭐야?,informal,daily,"[""daily""]",friend,friend,friend_to_friend,equal,small_talk,polite,친구와의 대화에서 계획을 묻고 싶을 때,sets_up_punchline,"[""so-ae""]",[]
9,Could you send me the report?,보고서 좀 보내줄 수 있어?,formal,workplace,"[""workplace""]",boss,employee,boss_to_employee,downward,request,very_polite,직원의 자료가 필요할 때,reveals_emotion,"[""hyo-jeong""]",[]
10,Do you need any help?,도와줄까?,standard,workplace,"[""workplace"", ""daily""]",coworker,coworker,coworker_to_coworker,equal,offer,polite,동료가 혼자 일을 처리하고 있는 것 같아 도움이 필요할 때,softens_conflict,"[""hanyoil""]",[]
11,Where should we have the meeting?,회의를 어디서 할까요?,formal,workplace,"[""workplace""]",employee,boss,employee_to_boss,upward,request,very_polite,회의 장소를 알아보고 조율하고 싶을 때,buys_time,"[""hanyuyeon""]",[]
12,I'm free after lunch.,점심 이후에 시간 있어.,standard,workplace,"[""workplace"", ""daily""]",employee,coworker,coworker_to_coworker,equal,update_status,polite,점심 이후에 가능한 시간을 알리고 싶을 때,reveals_emotion,"[""hanyoil"", ""hyo-jeong""]",[]
13,I'm happy to help out.,도와줄 수 있어서 기뻐.,standard,workplace,"[""workplace"", ""daily"", ""customer/service""]",employee,coworker,coworker_to_coworker,equal,offer,polite,동료에게 돕겠다고 전할 때,reveals_emotion,"[""hyo-jeong"", ""hanyoil""]",[]
14,I'll try my best.,최선을 다할게.,standard,workplace,"[""workplace"", ""daily""]",employee,boss,employee_to_boss,upward,assurance,polite,상사의 부탁을 들었을 때 응답으로,reveals_emotion,"[""hanyuyeon""]",[]
15,Let's take a break.,좀 쉬자.,informal,workplace,"[""workplace"", ""daily""]",coworker,coworker,coworker_to_coworker,equal,suggestion,softened,아까부터 오래 일하고 피곤할 때,softens_conflict,"[""so-ae""]",[]
16,What time do you finish?,몇 시에 끝나?,informal,daily,"[""daily"", ""workplace""]",friend,friend,friend_to_friend,equal,request,polite,친구의 일정을 확인하고 싶을 때,sets_up_punchline,"[""ru-ha""]",[]
17,Sorry for the delay.,늦어서 미안해.,standard,customer/service,"[""customer/service"", ""workplace""]",staff,customer,staff_to_customer,service_to_customer,apology,very_polite,고객의 불만 처리를 해야 할 때,resolves_conflict,"[""hyo-jeong""]",[]
18,I couldn't agree more.,완전 동의해.,standard,daily,"[""daily"", ""workplace""]",main_character,friend,friend_to_friend,equal,agreement,softened,앞선 사람의 의견에 적극적으로 동의하고 싶을 때,reveals_emotion,"[""so-ae""]",[]
19,Could you call me back?,다시 전화해 줄 수 있어?,standard,workplace,"[""workplace"", ""daily"", ""customer/service""]",customer,staff,customer_to_service,customer_to_service,request,polite,상대방의 전화를 받지 못해서 다시 연락을 요청하고 싶을 때,buys_time,"[""hanyoil""]",[]
20,That was unexpected.,그건 예상밖이었어.,standard,workplace,"[""workplace"", ""daily""]",coworker,coworker,coworker_to_coworker,equal,comment,polite,일에서 예상치 못한 일이 발생했을 때,reveals_emotion,"[""hanyuyeon"", ""so-ae""]",[]
